Gene,log2FoldChange,pvalue,padj
LOC118567431,NA,NA,NA
Gm6600,NA,NA,NA
LOC118567386,NA,NA,NA
LOC115490339,NA,NA,NA
LOC118567388,NA,NA,NA
LOC118567455,NA,NA,NA
Gm44150,NA,NA,NA
LOC118567456,NA,NA,NA
LOC118567389,NA,NA,NA
Gm22362,-0.019806274,0.961447788,NA
Gm6619,NA,NA,NA
5430401F13Rik,NA,NA,NA
Tas2r130,NA,NA,NA
Tas2r107,NA,NA,NA
Tas2r106,NA,NA,NA
Tas2r104,NA,NA,NA
Tas2r105,NA,NA,NA
Tas2r114,NA,NA,NA
Gm4736,NA,NA,NA
Prb1,NA,NA,NA
Prpmp5,NA,NA,NA
Gm8882,NA,NA,NA
Gm5154,NA,NA,NA
Prh1,NA,NA,NA
Prp2,NA,NA,NA
A630073D07Rik,NA,NA,NA
Tas2r120,NA,NA,NA
Tas2r121,NA,NA,NA
Tas2r122,NA,NA,NA
Tas2r115,NA,NA,NA
Tas2r124,NA,NA,NA
Tas2r102,NA,NA,NA
Tas2r136,NA,NA,NA
Tas2r117,NA,NA,NA
Tas2r123,NA,NA,NA
Tas2r116,NA,NA,NA
Tas2r110,NA,NA,NA
Tas2r113,NA,NA,NA
Tas2r125,NA,NA,NA
Tas2r129,NA,NA,NA
Tas2r131,NA,NA,NA
Tas2r109,NA,NA,NA
Tas2r103,NA,NA,NA
Tas2r140,NA,NA,NA
Gm35765,NA,NA,NA
5530400C23Rik,NA,NA,NA
Gm5885,NA,NA,NA
Gm46987,NA,NA,NA
Gm5886,NA,NA,NA
Kap,NA,NA,NA
Gm46978,NA,NA,NA
Gm38908,NA,NA,NA
Gm17089,0.107623776,0.778336036,NA
Gm36328,NA,NA,NA
LOC118567459,0.43623258,0.260426929,NA
Gm36428,NA,NA,NA
Gm22881,-0.142757436,0.623043697,NA
Gm19434,0.109144746,0.775590464,NA
Gm36533,NA,NA,NA
Gm36640,NA,NA,NA
Gm25136,-0.074302853,0.798075179,NA
LOC115490469,NA,NA,NA
4930425L21Rik,-0.074302853,0.798075179,NA
Gm38911,0.135405395,0.646040312,NA
Gm14329,NA,NA,NA
Gm14330,NA,NA,NA
Gm26653,NA,NA,NA
Gm26105,NA,NA,NA
Eif4a3l1,NA,NA,NA
E330021D16Rik,NA,NA,NA
Gm36844,0.062606314,0.829326413,NA
LOC118567460,NA,NA,NA
Gm36897,-0.015201149,0.970504758,NA
Gm44140,0.062606314,0.829326413,NA
LOC108169175,-0.074302853,0.798075179,NA
Gm40409,NA,NA,NA
Gm40411,NA,NA,NA
Gm52924,NA,NA,NA
Gm38915,NA,NA,NA
Slc15a5,0.062606314,0.829326413,NA
Gm30213,NA,NA,NA
A830011K09Rik,0.062606314,0.829326413,NA
Gm30332,NA,NA,NA
B230110G15Rik,NA,NA,NA
Igbp1b,NA,NA,NA
Gm30583,NA,NA,NA
LOC115490462,NA,NA,NA
Gm25434,NA,NA,NA
4922502N22Rik,NA,NA,NA
Rergl,NA,NA,NA
4930404I20Rik,NA,NA,NA
LOC118567412,NA,NA,NA
Plcz1,NA,NA,NA
Capza3,NA,NA,NA
Gm38917,NA,NA,NA
Gm30524,-0.437763683,0.258981426,NA
Gm10400,NA,NA,NA
Gm5724,NA,NA,NA
Gm30784,NA,NA,NA
Gm30843,NA,NA,NA
Slco1a1,NA,NA,NA
Gm6614,NA,NA,NA
LOC118567420,NA,NA,NA
Iapp,0.299587681,0.401159385,NA
Gys2,0.25164075,0.448128986,NA
Gm38919,NA,NA,NA
Gm46979,NA,NA,NA
Gm38920,NA,NA,NA
5330439B14Rik,NA,NA,NA
Gm46981,NA,NA,NA
Sult6b2,NA,NA,NA
Gm7457,NA,NA,NA
Gm31108,-0.074302853,0.798075179,NA
Gm38921,0.224685795,0.576780643,NA
1700126G02Rik,NA,NA,NA
4930407I02Rik,-0.437763683,0.258981426,NA
Gm52926,NA,NA,NA
D6Ertd474e,NA,NA,NA
Gm31427,NA,NA,NA
Gm38923,NA,NA,NA
Gm23272,NA,NA,NA
4930579D09Rik,-0.007659312,0.981392615,NA
1700060C16Rik,NA,NA,NA
Gm31521,-0.096316911,0.782136101,NA
Gm46720,NA,NA,NA
Gm32010,NA,NA,NA
Gm52486,0.273570783,0.420571024,NA
Gm52485,NA,NA,NA
Gm38531,NA,NA,NA
Sox5os3,NA,NA,NA
Sox5os4,NA,NA,NA
Gm32124,NA,NA,NA
Gm22792,NA,NA,NA
LOC118567421,NA,NA,NA
Gm46721,0.586590474,0.176778666,NA
Gm26666,-0.074302853,0.798075179,NA
Gm38925,0.160544789,0.614390812,NA
Gm15543,0.062606314,0.829326413,NA
Gm38926,NA,NA,NA
1700073E17Rik,0.008841106,0.98149249,NA
Tuba3b,NA,NA,NA
Gm38927,-0.074302853,0.798075179,NA
Gm32838,0.062606314,0.829326413,NA
Gm38928,-0.007616295,0.981450285,NA
Gm32914,0.101383681,0.781785901,NA
Gm35544,NA,NA,NA
LOC118567362,NA,NA,NA
Gm35707,-0.006794037,0.982575831,NA
Gm35596,-0.007303536,0.981873052,NA
LOC118567422,NA,NA,NA
LOC118567424,NA,NA,NA
Smco2,NA,NA,NA
LOC118567436,NA,NA,NA
E330012B07Rik,0.062606314,0.829326413,NA
Gm15767,0.583378484,0.179046115,NA
Gm36244,NA,NA,NA
1700049E15Rik,NA,NA,NA
Gm15762,NA,NA,NA
Far2os1,NA,NA,NA
4732416N19Rik,-0.074302853,0.798075179,NA
Gm52483,NA,NA,NA
Gm36613,NA,NA,NA
Gm6313,NA,NA,NA
4930528G23Rik,NA,NA,NA
2610017A05Rik,-0.074302853,0.798075179,NA
Gm25539,NA,NA,NA
LOC115489348,NA,NA,NA
Gm23462,NA,NA,NA
Gm38931,NA,NA,NA
